"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.impots.nc/61.5.212.17","443","INFO","-----BEGIN CERTIFICATE----- MIIGdDCCBVygAwIBAgIQT8P6I89m/o7mtYpsQNTRpDANBgkqhkiG9w0BAQsFADCB gTELMAkGA1UEBhMCRlIxETAPBgNVBAgTCENhbHZhZG9zMQ0wCwYDVQQHEwRDYWVu MRUwEwYDVQQKEwxUQlMgSU5URVJORVQxGDAWBgNVBAsTD1RCUyBJTlRFUk5FVCBD QTEfMB0GA1UEAxMWVEJTIFg1MDkgQ0EgYnVzaW5lc3MgMjAeFw0yMTAxMjQwMDAw MDBaFw0yMjAxMjQyMzU5NTlaMIG0MQswCQYDVQQGEwJOQzEOMAwGA1UEERMFOTg4 MDAxEDAOBgNVBAcMB05vdW3DqWExFTATBgNVBAkTDENlbnRyZSBWaWxsZTEdMBsG A1UECRMUMSBBdmVudWUgZHUgTWFsIEZvY2gxOTA3BgNVBAoTMENBQklORVQgRFUg R09VVkVSTkVNRU5UIERFIExBIE5PVVZFTExFLUNBTEVET05JRTESMBAGA1UEAxMJ aW1wb3RzLm5jMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxi9zvp2L /yrhYaG1Y8ypql3K7miDC7qiMqek0624iCMV2LYkW0PwZhLqy0BVdtc5YXRyHABa 2QyKz02Zaj+18cVjQk+fgV5WR5j4YICVdHANhcc74radqQLtIWD85S8JPLHAfWxL gl8gJDdhDs70efx0i/fkdHSqPEyjcTMrTOfhq5+AiLXBUGD75ckg2JH9rZaKTkuE 7ilGnPLlZSlAcAjYPN04GcplcUWUgwf81aA5L8POzJHFXI4yMojxdLYjixQ140pm Sm2lj8+X9vJUtjt8/qvrLrdIH86RgP9hjNtcAM9x3ohfhekDUm3CX4HF7L/w+xX+ 4Ew9kUAZAtRgHQIDAQABo4ICsTCCAq0wHwYDVR0jBBgwFoAUcfILqaPtywNKDDwB O75MRG3rKvgwHQYDVR0OBBYEFFZenzFxQvfKoeOkHBIzA0khuVdCMA4GA1UdDwEB /wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEF BQcDAjBKBgNVHSAEQzBBMDUGCisGAQQB5TcCAQEwJzAlBggrBgEFBQcCARYZaHR0 cHM6Ly9jcHMudXNlcnRydXN0LmNvbTAIBgZngQwBAgIwQAYDVR0fBDkwNzA1oDOg MYYvaHR0cDovL2NybC51c2VydHJ1c3QuY29tL1RCU1g1MDlDQWJ1c2luZXNzMi5j cmwwcgYIKwYBBQUHAQEEZjBkMDsGCCsGAQUFBzAChi9odHRwOi8vY3J0LnVzZXJ0 cnVzdC5jb20vVEJTWDUwOUNBYnVzaW5lc3MyLmNydDAlBggrBgEFBQcwAYYZaHR0 cDovL29jc3AudXNlcnRydXN0LmNvbTAjBgNVHREEHDAagglpbXBvdHMubmOCDXd3 dy5pbXBvdHMubmMwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgBGpVXrdfqRIDC1 oolp9PN9ESxBdL79SbiFq/L8cP5tRwAAAXc2WbfkAAAEAwBHMEUCICpE0tmcbDE3 4S9edlR5IY8hPa7/3WlsReJLrgvJrLgmAiEA88Tq+gX/6JhYs2GYHz6fTMc6phwW aTH9FYEXvKNYtfQAdwDfpV6raIJPH2yt7rhfTj5a6s2iEqRqXo47EsAgRFwqcwAA AXc2WbhwAAAEAwBIMEYCIQCwNzJ1WZxrBzHXa+/WrZ8YW3/i9jN9tSNo7NDhtd0a ogIhAJEjZrM7RcXH7ZM2kqCXWfC8IKCKueYwcvNKXxrW8gBAMA0GCSqGSIb3DQEB CwUAA4IBAQBxm/XnaWFHvXC3sr9kv4LUhx4lO8mPlIY0tKGMPO38UNqAQdI7ijXA HhCSDc9YsuxqlTlXWIgCTb76UpKErYuc/s1UjECAUy5fqz2g9jSJjQ3xyGZfCth7 V4ppj8zWPCNUWgCqYJK8OuCE4jh0nlYsxMil0pxUFqlr5CdISGOX7Mq/UJ4Jv8Bu oZ8N/+OriGzpH1/OGCVK5tc+UzyV2HxBsWWt89Iv7q37NgNkxk1+HlUmhkbaLhCQ uOyoxxIJTeH5eNs6G4uQNVuKIIhfBjHdMCxJIHI2z4+wvJP3moG5xGUmoFMsDwGP cxaU99Jv9sbKG3qnUw19JyBUk2rrtWGW -----END CERTIFICATE-----","",""
"cert_commonName","www.impots.nc/61.5.212.17","443","OK","impots.nc","",""
"cert_commonName_wo_SNI","www.impots.nc/61.5.212.17","443","INFO","*.gouv.nc","",""
"cert_subjectAltName","www.impots.nc/61.5.212.17","443","INFO","impots.nc www.impots.nc","",""
"cert_trust","www.impots.nc/61.5.212.17","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.impots.nc/61.5.212.17","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.impots.nc/61.5.212.17","443","INFO","no","",""
"cert_expirationStatus","www.impots.nc/61.5.212.17","443","OK","151 >= 60 days","",""
"cert_notBefore","www.impots.nc/61.5.212.17","443","INFO","2021-01-24 00:00","",""
"cert_notAfter","www.impots.nc/61.5.212.17","443","OK","2022-01-24 23:59","",""
