"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","guichet-entreprises.nc/61.5.212.17","443","INFO","-----BEGIN CERTIFICATE----- MIIGmjCCBYKgAwIBAgIRAMYWUtaPsK8XSZufdAqZI20wDQYJKoZIhvcNAQELBQAw gYExCzAJBgNVBAYTAkZSMREwDwYDVQQIEwhDYWx2YWRvczENMAsGA1UEBxMEQ2Fl bjEVMBMGA1UEChMMVEJTIElOVEVSTkVUMRgwFgYDVQQLEw9UQlMgSU5URVJORVQg Q0ExHzAdBgNVBAMTFlRCUyBYNTA5IENBIGJ1c2luZXNzIDIwHhcNMjAxMTE2MDAw MDAwWhcNMjExMTE2MjM1OTU5WjCBwTELMAkGA1UEBhMCTkMxDjAMBgNVBBETBTk4 ODAwMRAwDgYDVQQHDAdOb3Vtw6lhMRUwEwYDVQQJEwxDZW50cmUgVmlsbGUxHTAb BgNVBAkTFDEgQXZlbnVlIGR1IE1hbCBGb2NoMTkwNwYDVQQKEzBDQUJJTkVUIERV IEdPVVZFUk5FTUVOVCBERSBMQSBOT1VWRUxMRS1DQUxFRE9OSUUxHzAdBgNVBAMT Fmd1aWNoZXQtZW50cmVwcmlzZXMubmMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAw ggEKAoIBAQC73OhkaW6Ge+DzM3xYBm1W5mUqsEfg/rr7iv0orZMI/mKn3OYWxi7o C8Q9J5LqhH3AlGYfsCstBiC2urWHwvq+FnW3xmy53S888ABtDuV3Y2nAKa0kgNvl cHaq0sjJN7wjGF0G9NE8YQ8jwSKGnCivlkU2q//Ayfb6baNcLLMupXJWQiqXTJBQ 4aSL4PgaoB5dIbKaDxE3m12cZ9N86p2DgjvOJ2ojbuioRphw+XTSFUmrUaPvobdi zjf9F4Q34PIjIXPtyUlLkBe3hddxq7rppgEqhEgebrzKpCVn+35lv3piVHyR++RS rNBkWiP++Y0RzN/RhHf+JOqCHQh0KodDAgMBAAGjggLJMIICxTAfBgNVHSMEGDAW gBRx8gupo+3LA0oMPAE7vkxEbesq+DAdBgNVHQ4EFgQUliETyqHRz9DYG/OP5b9S r7uKfZgwDgYDVR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYI KwYBBQUHAwEGCCsGAQUFBwMCMEoGA1UdIARDMEEwNQYKKwYBBAHlNwIBATAnMCUG CCsGAQUFBwIBFhlodHRwczovL2Nwcy51c2VydHJ1c3QuY29tMAgGBmeBDAECAjBA BgNVHR8EOTA3MDWgM6Axhi9odHRwOi8vY3JsLnVzZXJ0cnVzdC5jb20vVEJTWDUw OUNBYnVzaW5lc3MyLmNybDByBggrBgEFBQcBAQRmMGQwOwYIKwYBBQUHMAKGL2h0 dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9UQlNYNTA5Q0FidXNpbmVzczIuY3J0MCUG CCsGAQUFBzABhhlodHRwOi8vb2NzcC51c2VydHJ1c3QuY29tMD0GA1UdEQQ2MDSC Fmd1aWNoZXQtZW50cmVwcmlzZXMubmOCGnd3dy5ndWljaGV0LWVudHJlcHJpc2Vz Lm5jMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHYAfT7y+I//iFVoJMLAyp5SiXkr xQ54CX8uapdomX4i8NcAAAF10vDfsAAABAMARzBFAiEAtHpN5jUeNrek9NEYj8bn bpzOQ1T1h2gs1GiyLqhd7/ACID6jHlt57++cq0shsuidfdlZMONtZs/g5WVRkwlO iovCAHUAlCC8Ho7VjWyIcx+CiyIsDdHaTV5sT5Q9YdtOL1hNosIAAAF10vDgSgAA BAMARjBEAiAFRqxKHXT9RwYeicFoO0MZ4YngRKYSHpSHpH9eUOtbZQIgPKaGa0F5 T6JUO+Ip7CeIZzpTqgNjSTA39fIuwLzXzSkwDQYJKoZIhvcNAQELBQADggEBAKs6 ErS9/eAVLd1Pmhh86NG4luyMxRnBVyEiPK0ERc3PjgVVO0dn6GPZAWpJdmECsnCS Mvs/VxXQ8UrxyBdNvsCjm2PpFdcTcICtSF7g6a6MXT5egoH+3+0X7mHil9Oeey1m c4U3v2gpQFwbuKddFwSOvx+cIlN9etkSehfBLRHV7w7giYzgAQ82X+Cp5MgpgbC8 QPy6wuM32gPaOhgBottvE8uZZFXpvsOOnnlPiisGQIbRzTWcI0jOGbehGoE20jDg k8RYL9voMCy/phQxAWxYw0+B4RbDvWXAeHyfpCBfExXH/8pEFX/Y0Bl4fBT9FaV+ Ew9gig4bQKK3+9UtJJA= -----END CERTIFICATE-----","",""
"cert_commonName","guichet-entreprises.nc/61.5.212.17","443","OK","guichet-entreprises.nc","",""
"cert_commonName_wo_SNI","guichet-entreprises.nc/61.5.212.17","443","INFO","*.gouv.nc","",""
"cert_subjectAltName","guichet-entreprises.nc/61.5.212.17","443","INFO","guichet-entreprises.nc www.guichet-entreprises.nc","",""
"cert_trust","guichet-entreprises.nc/61.5.212.17","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","guichet-entreprises.nc/61.5.212.17","443","OK","passed.","",""
"cert_certificatePolicies_EV","guichet-entreprises.nc/61.5.212.17","443","INFO","no","",""
"cert_expirationStatus","guichet-entreprises.nc/61.5.212.17","443","OK","82 >= 60 days","",""
"cert_notBefore","guichet-entreprises.nc/61.5.212.17","443","INFO","2020-11-16 00:00","",""
"cert_notAfter","guichet-entreprises.nc/61.5.212.17","443","OK","2021-11-16 23:59","",""
"cert_extlifeSpan","guichet-entreprises.nc/61.5.212.17","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","guichet-entreprises.nc/61.5.212.17","443","INFO","not present","",""
"cert_crlDistributionPoints","guichet-entreprises.nc/61.5.212.17","443","INFO","http://crl.usertrust.com/TBSX509CAbusiness2.crl","",""
"cert_ocspURL","guichet-entreprises.nc/61.5.212.17","443","INFO","http://ocsp.usertrust.com","",""
"OCSP_stapling","guichet-entreprises.nc/61.5.212.17","443","LOW","not offered","",""
"cert_mustStapleExtension","guichet-entreprises.nc/61.5.212.17","443","INFO","--","",""
"DNS_CAArecord","guichet-entreprises.nc/61.5.212.17","443","LOW","--","",""
"certificate_transparency","guichet-entreprises.nc/61.5.212.17","443","OK","yes (certificate extension)","",""
"certs_countServer","guichet-entreprises.nc/61.5.212.17","443","INFO","3","",""
"certs_list_ordering_problem","guichet-entreprises.nc/61.5.212.17","443","INFO","no","",""
"cert_caIssuers","guichet-entreprises.nc/61.5.212.17","443","INFO","TBS X509 CA business 2 (TBS INTERNET from FR)","",""
