"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","connect.gouv.nc/61.5.212.17","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE5jCCA86gAwIBAgISBALGjqEDOydUfr1C41oMjm5CMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA2MjkxODAwMTNaFw0yMzA5MjcxODAwMTJaMBIxEDAOBgNVBAMTB2dvdXYubmMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDYoeW2uPcqGd3U3tkkRVYD5OcXoETZsVO8otfXn4sxC+DC2QrurY2Dv4kfd9iPe9c4c9w/jsVafjOeBRXO7Q9/xuNDn2SPIZJ3hESibJv3xtDkS/80kCTpzaiqqAzqIjSjpUsW9ykc44DlSQp+oQyeiQBYHv3kpHWhZRxID6TD71F4CDsoO4HHA37Im47MQlp4+q57O7TC9g522A0HyXBAhZBMtL9nMfFmmkY1PNEo2JkZumZoyex1OKMSQ9xLu2Y0w/kgNI8V4vEFP/ohSZ9+jcmpKOOPITirbGLSKlzH7w58KCXgbibmQdZawJkXTm163BXMQ4gjnEAMggK6Qh3TAgMBAAGjggIUMIICEDAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFBggHj6c02WIReHYjI0ahx+MLCI2MB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMB0GA1UdEQQWMBSCCSouZ291di5uY4IHZ291di5uYzATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AHoyjFTYty22IOo44FIe6YQWcDIThU070ivBOlejUutSAAABiQiHBFgAAAQDAEcwRQIhAJv9ISQoZ/044ITUlQxgI+5pZNnuRf3ZAOOpH3O/LrjQAiAGQEY/rxWbiduHi3TCjQeZavmafzwRpeCKG3+rNsLCGwB2AK33vvp8/xDIi509nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABiQiHBH8AAAQDAEcwRQIhAK2Tap+SVe7i3aQ6QbkPjnRLHGWpAOHhoGNuV1ZHO46eAiAs8E/PCX/F9zYArJdm5UnRNP1Gtq1I/Q/4tfE3FNG8mTANBgkqhkiG9w0BAQsFAAOCAQEANXbXHrsHw0LcB151BPWPCs+2ZS59r7Qd6nZTPj59fNe8uzWIu7VH2Bpwfcm1CmeZRTOSolGuO//Cf20OgqDgfjDWpVY9v29+ncsGi03g7f1DAgPJ1wMhrkHvkPjDxzHkuiDYaAeRSfIm9eF0Knewt5+K/S59yiE1x0VHy2A0gqdhLfnvckZ/TaYSB36mZmMfr+D7r8b3lT3euJ1bAF0WBx/V6prEB79rbTrSDv5kKj+1kyR6MncBgrnkINpnzaO8+FSkk1HA/2ocxHrEexHwVXurNWittFF1oGS4zUF2onjZxibAsv50dw5CtyXo2fBtD2yBYdPxBCGTQNMyGf774A==\n-----END CERTIFICATE-----","",""
"cert_commonName","connect.gouv.nc/61.5.212.17","443","OK","gouv.nc","",""
"cert_commonName_wo_SNI","connect.gouv.nc/61.5.212.17","443","INFO","gouv.nc","",""
"cert_subjectAltName","connect.gouv.nc/61.5.212.17","443","INFO","*.gouv.nc gouv.nc","",""
"cert_trust","connect.gouv.nc/61.5.212.17","443","OK","Ok via SAN wildcard (same w/o SNI)","",""
"cert_chain_of_trust","connect.gouv.nc/61.5.212.17","443","OK","passed.","",""
"cert_certificatePolicies_EV","connect.gouv.nc/61.5.212.17","443","INFO","no","",""
"cert_expirationStatus","connect.gouv.nc/61.5.212.17","443","OK","55 >= 30 days","",""
"cert_notBefore","connect.gouv.nc/61.5.212.17","443","INFO","2023-06-29 18:00","",""
"cert_notAfter","connect.gouv.nc/61.5.212.17","443","OK","2023-09-27 18:00","",""
